,ID,Source,TMC,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight,acc_year,acc_month,acc_hr_day,new_date,day_name
195114,A-195116,MapQuest,241.0,3,2016-12-06 08:39:14,2016-12-06 09:59:15,40.850066999999996,-73.944817,1.0,Left lane blocked due to accident on I-95 Lower Level Southbound from Exits 73 74 Palisades Interstate Pkwy to Exit 1 Riverside Dr.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2016-12-06 08:51:00,43.0,,58.0,30.14,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,8,2016-12-06,Tuesday
195133,A-195135,MapQuest,241.0,3,2016-12-06 10:25:28,2016-12-06 10:54:29,40.850066999999996,-73.944817,0.01,Upper level 2 center lane blocked due to accident on I-95 George Washington Bridge Southbound near Exit 1 Riverside Dr.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2016-12-06 10:51:00,46.0,43.9,54.0,30.11,10.0,Variable,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,10,2016-12-06,Tuesday
195163,A-195165,MapQuest-Bing,241.0,2,2016-12-06 16:04:06,2016-12-06 16:48:42,40.804005,-73.927925,0.01,Left lane blocked due to accident on Willis Avenue Brg Eastbound at Willis Ave.,,Willis Avenue Brg,R,New York,New York,NY,10035,US,US/Eastern,KNYC,2016-12-06 15:51:00,45.0,42.6,53.0,29.95,10.0,Variable,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,16,2016-12-06,Tuesday
195203,A-195205,MapQuest,229.0,2,2016-12-06 20:58:21,2016-12-06 21:28:21,40.836906,-73.948929,0.01,Slow traffic due to accident on Henry Hudson Pkwy Northbound at Exit 13 158th St.,,Henry Hudson Pkwy N,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2016-12-06 20:51:00,39.9,33.4,86.0,29.93,5.0,ENE,10.4,0.1,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016,12,20,2016-12-06,Tuesday
195224,A-195226,MapQuest,245.0,2,2016-12-07 06:31:07,2016-12-07 06:58:46,40.731255,-73.973656,0.01,Two lanes blocked due to accident on Southern State Parkway Westbound near Exit 7 Avenue C.,,FDR Dr N,R,New York,New York,NY,10009,US,US/Eastern,KJRB,2016-12-07 06:35:00,42.8,37.0,87.0,30.42,,NE,10.4,,Overcast,True,False,True,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2016,12,6,2016-12-07,Wednesday
195313,A-195315,MapQuest,241.0,3,2016-12-07 11:46:24,2016-12-07 12:15:54,40.797249,-73.920357,0.01,One lane blocked due to accident on I-278 Robert F Kennedy Brg Westbound at Exit 46 / Robert F Kennedy Bridge / Robert F Kennedy Brg.,,Robert F Kennedy Brg W,R,New York,New York,NY,10035,US,US/Eastern,KNYC,2016-12-07 11:51:00,42.1,40.2,85.0,29.97,6.0,Variable,3.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,11,2016-12-07,Wednesday
195405,A-195407,MapQuest,201.0,2,2016-12-08 07:00:01,2016-12-08 07:29:47,40.821339,-73.958702,0.01,Accident on Henry Hudson Pkwy Southbound at 135th St.,,Henry Hudson Pkwy S,R,New York,New York,NY,10027,US,US/Eastern,KNYC,2016-12-08 06:51:00,39.9,36.7,63.0,29.98,10.0,WNW,4.6,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2016,12,7,2016-12-08,Thursday
195459,A-195461,MapQuest,201.0,2,2016-12-08 09:51:52,2016-12-08 10:21:41,40.765228,-73.951904,0.01,Accident on FDR Dr Northbound at 71st St.,,FDR Dr N,R,New York,New York,NY,10021,US,US/Eastern,KNYC,2016-12-08 09:51:00,44.6,,49.0,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,9,2016-12-08,Thursday
195460,A-195462,MapQuest,201.0,2,2016-12-08 09:57:23,2016-12-08 10:27:16,40.758644,-73.981323,0.01,Accident on Avenue of the Americas at 48th St.,77.0,W 48th St,R,New York,New York,NY,10020-2004,US,US/Eastern,KNYC,2016-12-08 09:51:00,44.6,,49.0,,,North,,,,False,False,True,False,False,False,True,False,True,False,False,True,False,Day,Day,Day,Day,2016,12,9,2016-12-08,Thursday
195509,A-195511,MapQuest,241.0,2,2016-12-08 16:38:57,2016-12-08 17:23:43,40.748028000000005,-73.96817,0.01,Left lane blocked due to accident on FDR Dr Northbound at Exits 8 9 Franklin Delano Roosevelt Drive Service Rd.,,FDR Dr S,R,New York,New York,NY,10017,US,US/Eastern,KNYC,2016-12-08 16:51:00,42.8,,36.0,,,North,,,,False,False,False,False,True,False,False,False,False,True,False,False,False,Night,Day,Day,Day,2016,12,16,2016-12-08,Thursday
195628,A-195630,MapQuest,201.0,2,2016-12-09 09:39:32,2016-12-09 10:24:21,40.769855,-73.984306,0.01,Accident on Columbus Ave at 60th St.,6.0,Columbus Ave,L,New York,New York,NY,10023-6976,US,US/Eastern,KNYC,2016-12-09 09:51:00,37.4,,45.0,,,North,,,,False,False,False,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day,2016,12,9,2016-12-09,Friday
195629,A-195631,MapQuest,201.0,3,2016-12-09 09:38:30,2016-12-09 10:00:00,40.78204,-73.94413,0.01,Right lane blocked due to accident on FDR Dr Northbound at Exit 14 F D R Dr.,,FDR Dr S,R,New York,New York,NY,10128,US,US/Eastern,KNYC,2016-12-09 09:51:00,37.4,,45.0,,,North,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,9,2016-12-09,Friday
195668,A-195670,MapQuest,201.0,3,2016-12-09 15:18:30,2016-12-09 15:48:12,40.84977,-73.942841,0.01,Accident on I-95 George Washington Brg Southbound at Exit 1 Riverside Dr.,,George Washington Brg,R,New York,New York,NY,10033,US,US/Eastern,KNYC,2016-12-09 14:51:00,39.0,32.3,32.0,30.11,10.0,NW,10.4,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,15,2016-12-09,Friday
195681,A-195683,MapQuest,245.0,2,2016-12-09 16:09:16,2016-12-09 16:54:00,40.782818,-73.943871,0.01,Two lanes blocked due to accident on FDR Dr Northbound at Exit 14 F D R Dr.,,E 96th St,R,New York,New York,NY,10128,US,US/Eastern,KNYC,2016-12-09 15:51:00,37.0,,37.0,30.15,10.0,North,,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016,12,16,2016-12-09,Friday
195711,A-195713,MapQuest,201.0,3,2016-12-09 19:25:38,2016-12-09 20:10:22,40.851543,-73.95208000000001,0.01,Accident on I-95 George Washington Brg Northbound after I-95 George Washington Brg.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2016-12-09 19:51:00,32.0,23.0,44.0,30.26,10.0,NW,11.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016,12,19,2016-12-09,Friday
195769,A-195771,MapQuest,245.0,3,2016-12-11 12:06:01,2016-12-11 12:50:07,40.746449,-73.974663,0.01,Two lanes blocked due to accident on I-495 Queens Midtown Tunl Westbound at Tunnel Exit St.,675.0,2nd Ave,R,New York,New York,NY,10016-3703,US,US/Eastern,KNYC,2016-12-11 11:51:00,34.0,28.8,40.0,30.5,10.0,Variable,5.8,,Overcast,False,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day,2016,12,12,2016-12-11,Sunday
195777,A-195779,MapQuest,229.0,2,2016-12-11 15:25:11,2016-12-11 16:09:41,40.715022999999995,-73.976288,0.01,Slow traffic and left lane closed due to accident on FDR Dr Northbound at Exit 4 Grand St.,,FDR Dr N,R,New York,New York,NY,10009,US,US/Eastern,KJRB,2016-12-11 15:35:00,35.6,28.6,52.0,30.43,,WSW,9.2,,Overcast,True,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,15,2016-12-11,Sunday
195801,A-195803,MapQuest,245.0,2,2016-12-11 22:30:08,2016-12-11 22:59:25,40.731255,-73.973656,0.01,Two lanes blocked due to accident on FDR Dr Northbound at Exit 7 Avenue C.,,FDR Dr N,R,New York,New York,NY,10009,US,US/Eastern,KJRB,2016-12-11 22:35:00,35.6,28.6,81.0,30.43,,NNE,9.2,,Overcast,True,False,True,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016,12,22,2016-12-11,Sunday
195827,A-195829,MapQuest,201.0,2,2016-12-12 05:41:08,2016-12-12 06:25:49,40.718971,-73.974968,0.01,Accident on FDR Dr Northbound at Exit 5 Houston St.,592.0,E Houston St,L,New York,New York,NY,10002-1118,US,US/Eastern,KJRB,2016-12-12 05:35:00,42.8,38.0,93.0,30.42,,West,8.1,9.85,Overcast,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day,2016,12,5,2016-12-12,Monday
195913,A-195915,MapQuest,201.0,2,2016-12-12 08:07:59,2016-12-12 08:37:41,40.815041,-73.934212,0.01,Accident on Harlem River Dr Southbound at Exit 22 5th Ave.,,Harlem River Dr N,R,New York,New York,NY,10037,US,US/Eastern,KNYC,2016-12-12 07:51:00,41.0,35.8,93.0,29.86,5.0,WSW,8.1,0.07,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,8,2016-12-12,Monday
195925,A-195927,MapQuest,201.0,2,2016-12-12 08:24:33,2016-12-12 08:54:18,40.785564,-73.984062,0.01,Accident on Henry Hudson Pkwy Northbound at 79th St.,,Henry Hudson Pkwy S,R,New York,New York,NY,10024,US,US/Eastern,KNYC,2016-12-12 08:51:00,41.0,37.1,93.0,29.86,5.0,Variable,5.8,0.0,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,8,2016-12-12,Monday
195926,A-195928,MapQuest,201.0,2,2016-12-12 08:27:12,2016-12-12 08:56:52,40.80127,-73.929916,0.01,Accident on FDR Dr Southbound at Exit 17 Robert F Kennedy Bridge.,,Robert F Kennedy Bridge,R,New York,New York,NY,10035,US,US/Eastern,KNYC,2016-12-12 08:51:00,41.0,37.1,93.0,29.86,5.0,Variable,5.8,0.0,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,8,2016-12-12,Monday
195941,A-195943,MapQuest,201.0,2,2016-12-12 08:49:52,2016-12-12 09:19:52,40.826313,-73.954613,0.01,Accident on Henry Hudson Pkwy Southbound at Exit 13 158th St.,,Henry Hudson Pkwy S,R,New York,New York,NY,10031,US,US/Eastern,KNYC,2016-12-12 08:51:00,41.0,37.1,93.0,29.86,5.0,Variable,5.8,0.0,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,8,2016-12-12,Monday
195977,A-195979,MapQuest,201.0,2,2016-12-12 10:23:22,2016-12-12 10:53:02,40.707687,-74.000076,0.01,Accident on FDR Dr Northbound before Exit 2 Brooklyn Bridge.,,FDR Dr S,R,New York,New York,NY,10038,US,US/Eastern,KJRB,2016-12-12 10:15:00,42.8,36.6,87.0,30.42,,West,11.5,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016,12,10,2016-12-12,Monday
196001,A-196003,MapQuest,241.0,2,2016-12-12 13:48:04,2016-12-12 14:32:27,40.782818,-73.943871,0.01,Left and center lane blocked due to accident on FDR Dr Northbound before Exit 14 F D R Dr.,,E 96th St,R,New York,New York,NY,10128,US,US/Eastern,KNYC,2016-12-12 13:51:00,45.0,41.2,80.0,29.82,10.0,WNW,6.9,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016,12,13,2016-12-12,Monday
196049,A-196051,MapQuest-Bing,201.0,2,2016-12-12 20:04:35,2016-12-12 20:49:06,40.707687,-74.000076,0.01,Lane blocked on entry ramp due to accident on Brooklyn Bridge Eastbound at FDR Dr.,,FDR Dr S,R,New York,New York,NY,10038,US,US/Eastern,KJRB,2016-12-12 19:56:00,42.1,37.1,82.0,29.94,,West,8.1,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night,2016,12,20,2016-12-12,Monday
196066,A-196068,MapQuest,201.0,2,2016-12-13 06:00:08,2016-12-13 06:29:35,40.80127,-73.929916,0.01,Accident on FDR Dr Southbound at East 125th St.,,Robert F Kennedy Bridge,R,New York,New York,NY,10035,US,US/Eastern,KNYC,2016-12-13 05:51:00,36.0,33.3,57.0,30.15,10.0,WNW,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day,2016,12,6,2016-12-13,Tuesday
196106,A-196108,MapQuest,201.0,2,2016-12-13 08:00:17,2016-12-13 08:29:49,40.770264000000005,-73.947754,0.01,Accident on FDR Dr Southbound at 79th St.,,FDR Dr,R,New York,New York,NY,10075,US,US/Eastern,KNYC,2016-12-13 07:51:00,37.0,33.3,54.0,30.17,10.0,West,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,8,2016-12-13,Tuesday
196152,A-196154,MapQuest-Bing,201.0,3,2016-12-13 09:31:26,2016-12-13 10:15:38,40.84584,-73.931061,0.01,Left lane blocked due to accident on Washington Brg Lower Level Eastbound around I-95.,,I-95 N,R,New York,New York,NY,10033,US,US/Eastern,KNYC,2016-12-13 09:51:00,39.0,34.8,50.0,30.19,10.0,West,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,9,2016-12-13,Tuesday
196162,A-196164,MapQuest,201.0,2,2016-12-13 10:10:51,2016-12-13 10:40:33,40.834126,-73.949951,0.01,Accident on Henry Hudson Pkwy Southbound at Exit 13 158th St.,,Marginal St,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2016-12-13 09:51:00,39.0,34.8,50.0,30.19,10.0,West,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,10,2016-12-13,Tuesday
196181,A-196183,MapQuest,201.0,3,2016-12-13 12:54:00,2016-12-13 13:23:25,40.850066999999996,-73.944817,1.0,Right lane blocked due to accident on I-95 George Washington Brg Southbound between Exits 73 74 Palisades Interstate Pkwy and Exit 1 Riverside Dr.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2016-12-13 12:51:00,42.1,,45.0,30.12,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,12,2016-12-13,Tuesday
196229,A-196231,MapQuest,203.0,3,2016-12-13 18:17:50,2016-12-13 18:47:22,40.849632,-73.942589,1.12,Queueing traffic due to multi-vehicle accident on I-95 George Washington Bridge - Lower Level Northbound between Exits 73 74 Palisades Interstate Pkwy and Exit 1 Riverside Dr.,,George Washington Brg,R,New York,New York,NY,10033,US,US/Eastern,KNYC,2016-12-13 17:51:00,41.0,38.0,49.0,30.08,10.0,Variable,4.6,,Clear,False,False,False,False,False,True,False,False,False,False,False,False,False,Night,Night,Night,Night,2016,12,18,2016-12-13,Tuesday
196237,A-196239,MapQuest,241.0,3,2016-12-13 18:41:57,2016-12-13 19:26:28,40.850066999999996,-73.944817,0.01,Left lane blocked due to accident on I-95 George Washington Brg Southbound around Exit 1 Riverside Dr.,,George Washington Brg,R,New York,New York,NY,10032,US,US/Eastern,KNYC,2016-12-13 18:51:00,41.0,,51.0,30.08,10.0,North,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016,12,18,2016-12-13,Tuesday
196270,A-196272,MapQuest,201.0,2,2016-12-14 06:10:01,2016-12-14 06:39:37,40.804165000000005,-73.931038,0.01,Accident on Harlem River Dr Southbound at Willis Avenue Bridge.,,Harlem River Dr N,R,New York,New York,NY,10035,US,US/Eastern,KNYC,2016-12-14 05:51:00,37.0,31.6,67.0,29.97,9.0,WNW,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Day,Day,2016,12,6,2016-12-14,Wednesday
196399,A-196401,MapQuest,241.0,2,2016-12-14 16:48:08,2016-12-14 17:32:52,40.782818,-73.943871,0.01,Left lane blocked due to accident on FDR Dr Southbound near Exit 14 F D R Dr.,,E 96th St,R,New York,New York,NY,10128,US,US/Eastern,KNYC,2016-12-14 16:51:00,39.0,,33.0,29.95,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day,2016,12,16,2016-12-14,Wednesday
196433,A-196435,MapQuest,241.0,2,2016-12-14 19:50:53,2016-12-14 20:35:32,40.714493,-73.976715,0.01,Right lane blocked due to accident on FDR Dr Northbound at Exit 4 Grand St.,,FDR Dr S,R,New York,New York,NY,10009,US,US/Eastern,KJRB,2016-12-14 19:55:00,37.4,29.3,48.0,30.42,,West,12.7,9.96,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night,2016,12,19,2016-12-14,Wednesday
196456,A-196458,MapQuest,201.0,2,2016-12-15 06:52:32,2016-12-15 07:22:18,40.760159,-73.957504,0.01,Accident on FDR Dr Southbound at Exit 12 61st St.,,FDR Dr S,R,New York,New York,NY,10065,US,US/Eastern,KNYC,2016-12-15 06:51:00,27.0,16.7,36.0,29.82,10.0,West,11.5,,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day,2016,12,6,2016-12-15,Thursday
196471,A-196473,MapQuest,201.0,2,2016-12-15 07:32:42,2016-12-15 08:02:24,40.760159,-73.957504,0.01,Accident on FDR Dr Northbound at 59th St.,,FDR Dr S,R,New York,New York,NY,10065,US,US/Eastern,KNYC,2016-12-15 07:51:00,25.0,14.2,37.0,29.84,10.0,WNW,11.5,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,7,2016-12-15,Thursday
196520,A-196522,MapQuest,241.0,3,2016-12-15 10:01:38,2016-12-15 10:30:53,40.845932,-73.93145799999999,0.76,Lower level left lane blocked due to accident on I-95 George Washington Bridge Southbound between Exit 1 Riverside Dr and Exit 2 Amsterdam Ave.,,I-95 N,R,New York,New York,NY,10033,US,US/Eastern,KNYC,2016-12-15 09:51:00,23.0,10.6,55.0,29.91,5.0,WNW,13.8,,Haze,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,10,2016-12-15,Thursday
196524,A-196526,MapQuest,201.0,2,2016-12-15 10:30:45,2016-12-15 11:00:34,40.707687,-74.000076,0.01,Accident on FDR Dr at Exit 2 Brooklyn Bridge.,,FDR Dr S,R,New York,New York,NY,10038,US,US/Eastern,KJRB,2016-12-15 10:29:00,24.8,19.1,80.0,29.93,,Variable,4.6,,Overcast,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016,12,10,2016-12-15,Thursday
196531,A-196533,MapQuest,241.0,2,2016-12-15 10:48:30,2016-12-15 11:17:57,40.711872,-74.004005,0.97,Right lane blocked due to accident on Brooklyn Brg Westbound between I-278 Queens Midtown Expy and Park Row.,,Brooklyn Brg,R,New York,New York,NY,10038,US,US/Eastern,KJRB,2016-12-15 10:55:00,26.6,21.2,69.0,30.42,,Variable,4.6,0.07,Overcast,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day,2016,12,10,2016-12-15,Thursday
196532,A-196534,MapQuest,241.0,2,2016-12-15 10:44:41,2016-12-15 11:14:16,40.71051,-73.984741,0.01,Right and center lane blocked due to accident on FDR Dr Southbound at Clinton St.,,FDR Dr N,R,New York,New York,NY,10002,US,US/Eastern,KJRB,2016-12-15 10:35:00,24.8,20.5,74.0,30.42,,Variable,3.5,0.05,Overcast,True,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day,2016,12,10,2016-12-15,Thursday
